1,Site,Bearing,Point,Litter Cover,Litter Depth OG,Litter Depth,Undergrowth,Growth >2m,Canopy Cover,Notes,Recorder
105,TC-UR-02,South,20,100,17,12,"103, 151, 183",10.6,90,,
106,TC-UR-02,South,25,50,20,15,,1.1,90,,
107,TC-UR-02,South,30,100,50,45,,1.9,90,,
108,TC-UR-02,South,35,100,33,28,180,2.8,90,,
109,TC-UR-02,South,40,100,45,40,51,13.8,100,,
110,TC-UR-02,South,45,20,22,17,,3.4,90,,
111,TC-UR-02,South,50,0,20,15,"130, 193",6.4,90,Stream,
112,TC-UR-02,West,5,50,25,20,,10.6,90,,
113,TC-UR-02,West,10,80,30,25,,8.8,90,,
114,TC-UR-02,West,15,100,79,74,170,0.2,90,,
115,TC-UR-02,West,20,40,43,38,"62, 70",11.8,100,Stream,
116,TC-UR-02,West,25,90,20,15,96,6.2,90,,
117,TC-UR-02,West,30,100,23,18,132,1.3,90,,
118,TC-UR-02,West,35,100,25,20,,6.2,90,,
119,TC-UR-02,West,40,80,40,35,,15.9,80,,
120,TC-UR-02,West,45,100,17,12,,0.6,80,,
121,TC-UR-02,West,50,100,33,28,14,3.1,80,,
122,TC-BR-03,North,5,100,29,24,14,4.6,20,,
123,TC-BR-03,North,10,90,29,24,"26, 74, 84, 89",,0,,
124,TC-BR-03,North,15,30,32,27,,,0,,
125,TC-BR-03,North,20,90,28,23,"6, 7, 8",4.8,90,,
126,TC-BR-03,North,25,100,22,17,,0.2,90,,
127,TC-BR-03,East,5,80,15,10,,0.9,100,,
128,TC-BR-03,East,10,90,27,22,,4.5,100,,
129,TC-BR-03,East,15,100,34,29,,5.1,100,,
130,TC-BR-03,East,20,90,34,29,43,3.7,80,,
131,TC-BR-03,East,25,100,32,27,14,14.8,80,,
132,TC-BR-03,South,5,100,30,25,,7.9,90,,
133,TC-BR-03,South,10,100,31,26,,4.3,100,,
134,TC-BR-03,South,15,100,22,17,,4.7,90,,
135,TC-BR-03,South,20,100,29,24,,11.8,90,,
136,TC-BR-03,South,25,100,41,36,"67, 69",2.9,100,,
137,TC-BR-03,West,5,100,31,26,,18.8,30,,
138,TC-BR-03,West,10,100,23,18,"39, 50, 55, 59, 63, 64",4.3,100,,
139,TC-BR-03,West,15,100,17,12,,15.9,80,,
140,TC-BR-03,West,20,90,19,14,,23.1,10,,
141,TC-BR-03,West,25,70,17,12,,5.8,0,,
142,TC-UR-03,North,5,100,31,26,"135, 144",5.5,90,,
143,TC-UR-03,North,10,100,30,25,141,10.5,90,,
144,TC-UR-03,North,15,100,39,34,105,3,100,,
145,TC-UR-03,North,20,100,33,28,"124, 137",5,100,,
146,TC-UR-03,North,25,100,47,42,,3.3,100,,
147,TC-UR-03,East,5,100,39,34,5,23.3,80,,
148,TC-UR-03,East,10,100,33,28,,8.1,100,,
149,TC-UR-03,East,15,100,42,37,"127, 179, 190",4.7,100,,
150,TC-UR-03,East,20,100,33,28,62,2.3,90,,
151,TC-UR-03,East,25,90,32,27,84,2,100,,
152,TC-UR-03,South,10,100,35,30,"59, 53, 178",3.8,100,,
153,TC-UR-03,South,20,100,35,30,,6.5,100,,
154,TC-UR-03,South,30,100,42,37,,5,100,,
155,TC-UR-03,South,40,100,43,38,192,17,80,,
156,TC-UR-03,South,50,100,31,26,14,3,90,,
157,TC-UR-03,West,10,100,34,29,34,9,100,,
158,TC-UR-03,West,20,100,32,27,32,3.3,100,,
159,TC-UR-03,West,30,100,40,35,40,3.9,90,,
160,TC-UR-03,West,40,100,38,33,38,1.8,100,,
161,TC-UR-03,West,50,100,38,33,38,8.1,80,,
162,TC-BR-04,North,5,40,22,17,,20.9,50,,
163,TC-BR-04,North,10,100,40,35,26,21.4,50,,
164,TC-BR-04,North,15,50,23,18,1,,0,,
165,TC-BR-04,North,20,60,18,13,,12,10,,
166,TC-BR-04,North,25,20,18,13,2,14.3,70,,
167,TC-BR-04,East,10,100,25,20,,24.8,100,,
168,TC-BR-04,East,20,90,20,15,,5.9,100,,
169,TC-BR-04,East,30,100,43,38,6,9.5,100,,
170,TC-BR-04,East,40,100,32,27,,10.3,40,,
171,TC-BR-04,East,50,50,18,13,,17.8,90,,
172,TC-BR-04,South,10,100,23,18,1,5.1,100,,
173,TC-BR-04,South,20,80,28,23,,14.8,90,,
174,TC-BR-04,South,30,90,32,27,,8.7,50,,
175,TC-BR-04,South,40,100,26,21,32,3.5,100,,
176,TC-BR-04,South,50,100,20,15,,,0,,
177,TC-BR-04,West,10,100,18,13,"5, 9",7,90,,
178,TC-BR-04,West,20,80,15,10,1,19.7,10,,
179,TC-BR-04,West,30,100,25,20,"9, 23, 36",9.4,30,,
180,TC-BR-04,West,40,50,16,11,20,7,90,,
181,TC-BR-04,West,50,100,22,17,4,20.8,40,,
182,TC-UR-04,North,5,100,32,27,,0.9,100,,
183,TC-UR-04,North,10,100,40,35,15,6,100,,
184,TC-UR-04,North,15,100,37,32,,0.2,90,,
185,TC-UR-04,North,20,100,40,35,147,15.8,100,,
186,TC-UR-04,North,25,100,31,26,,5.3,100,,
187,TC-UR-04,East,10,100,47,42,"21, 82, 95",0.9,100,,
188,TC-UR-04,East,20,90,48,43,,6.1,100,,
189,TC-UR-04,East,30,80,52,47,,2.9,100,,
190,TC-UR-04,East,40,80,28,23,,12.3,90,,
191,TC-UR-04,East,50,100,26,21,123,7.7,100,,
192,TC-UR-04,South,10,100,51,46,192,0.2,100,,
193,TC-UR-04,South,20,100,43,38,,13.3,100,,
194,TC-UR-04,South,30,100,39,34,,2.9,100,,
195,TC-UR-04,South,40,100,34,29,"15, 16",6.2,100,,
196,TC-UR-04,South,50,90,33,28,,5.3,100,,
197,TC-UR-04,West,10,100,23,18,,11.2,100,,
198,TC-UR-04,West,20,90,37,32,"92, 94, 106",1.9,100,,
199,TC-UR-04,West,30,100,19,14,,18,100,,
200,TC-UR-04,West,40,90,21,16,8,4.9,90,,
201,TC-UR-04,West,50,90,25,20,38,2.3,90,,
202,BY-BS-01,North,10,90,11,6,22,18.2,30,,BW
203,BY-BS-01,North,20,80,22,17,"7, 11",,0,,BW
204,BY-BS-01,North,30,30,21,16,"18, 51, 109, 122",2.8,10,Log,BW
205,BY-BS-01,Norh,40,100,16,11,1,26,70,,BW
206,BY-BS-01,North,50,40,17,12,,15.1,50,Rocks,BW
207,BY-BS-01,East,10,100,22,17,3,23.8,70,,BW
208,BY-BS-01,East,20,100,21,16,4,20.8,50,,BW
209,BY-BS-01,East,30,100,25,20,"9, 39",13.8,40,,BW
210,BY-BS-01,East,40,100,22,17,,16,90,,BW
211,BY-BS-01,East,50,80,17,12,"6, 8, 12, 22, 40",13,20,,BW
212,BY-BS-01,South,10,60,18,13,2,12.8,50,,BW
213,BY-BS-01,South,20,10,15,10,,14.8,30,,BW
214,BY-BS-01,South,30,90,15,10,8,14.8,80,,BW
215,BY-BS-01,South,40,80,12,7,"4, 10, 13, 15, 18, 24",4.7,80,,BW
216,BY-BS-01,South,50,70,18,13,8,6.8,30,,BW
217,BY-BS-01,West,10,100,20,15,10,12.8,70,,BW
218,BY-BS-01,West,20,100,19,14,1,5.8,50,,BW
219,BY-BS-01,West,30,70,20,15,,16.8,40,,BW
220,BY-BS-01,West,40,80,20,15,100,18.1,10,,BW
221,BY-BS-01,West,50,80,12,7,"9, 16, 34",14.2,50,,BW
222,BY-US-01,North,10,70,35,30,5,12.8,20,,BW
223,BY-US-01,North,20,100,23,18,20,0.8,50,,BW
224,BY-US-01,North,30,90,68,63,189,2.8,50,Log,BW
225,BY-US-01,Norh,40,100,15,10,"7, 8, 9, 10, 21",18.8,70,,BW
226,BY-US-01,North,50,100,25,20,"7, 8, 9, 11, 14, 21, 24",0.2,10,,BW
227,BY-US-01,East,10,80,38,33,16,0.2,80,,BW
228,BY-US-01,East,20,100,23,18,,0.8,20,,BW
229,BY-US-01,East,30,100,28,23,,0.6,60,,BW
230,BY-US-01,East,40,100,21,16,18,9.8,20,,BW
231,BY-US-01,East,50,100,30,25,,0.8,30,,BW
232,BY-US-01,South,10,80,30,25,"25, 175",7.8,10,,BW
233,BY-US-01,South,20,100,43,38,,16.1,10,,BW
234,BY-US-01,South,30,100,38,33,,5.1,30,,BW
235,BY-US-01,South,40,80,42,37,,2.8,10,Log,BW
236,BY-US-01,South,50,100,28,23,,11.8,60,,BW
237,BY-US-01,West,10,90,11,6,"13, 15, 20, 31, 86",0.2,30,,BW
238,BY-US-01,West,20,100,21,16,71,0.2,60,,BW
239,BY-US-01,West,30,100,95,90,"24, 97, 106, 145, 196",0.2,70,,BW
240,BY-US-01,West,40,80,25,20,"11, 62, 115, 131",0.2,10,,BW
241,BY-US-01,West,50,100,20,15,"15, 32, 71, 127, 141, 172",0.2,30,,BW
242,BY-BS-02,North,10,80,26,21,"1, 4, 6, 16, 18, 32, 72",6.8,70,,
243,BY-BS-02,North,20,90,14,9,"3, 4, 7, 9, 10",19.6,30,,
244,BY-BS-02,North,30,20,16,11,"3, 17",10.2,40,,
245,BY-BS-02,North,40,90,18,13,"9, 10, 13, 14, 16, 23",16.4,40,,
246,BY-BS-02,North,50,60,19,14,"7, 11, 13, 14, 19, 22, 26",3.2,10,Log,
247,BY-BS-02,East,10,90,29,24,"4, 5, 6, 7, 8, 16, 17, 23, 32",3,30,,
248,BY-BS-02,East,20,80,15,10,"14, 19, 20, 21, 22, 27, 34, 36, 43, 50, 59",19.2,10,Log,
249,BY-BS-02,East,30,100,13,8,"5, 6, 9",11.4,40,,
250,BY-BS-02,East,40,100,23,18,"6, 8, 9, 13, 29",14.4,40,,
251,BY-BS-02,East,50,100,21,16,,16.2,40,,
252,BY-BS-02,South,10,70,20,15,"1, 2, 3, 4, 17",12.8,30,,
253,BY-BS-02,South,20,80,18,13,"4, 21, 23, 25",13,50,,
254,BY-BS-02,South,30,90,15,10,,,0,,
255,BY-BS-02,South,40,100,19,14,,0.9,30,,
256,BY-BS-02,South,50,100,16,11,"8, 34",17.5,60,,
257,BY-BS-02,West,10,80,15,10,"10, 12, 20, 31",19.8,30,,
258,BY-BS-02,West,20,90,21,16,"3, 5, 12, 13, 18, 21, 34, 28",5.3,10,,
259,BY-BS-02,West,30,100,15,10,"2, 4, 3, 7, 10, 34, 54",13,30,,
260,BY-BS-02,West,40,70,12,7,,25.8,60,,
261,BY-BS-02,West,50,90,22,17,"2, 4, 14, 17, 20",4.2,10,,
262,BY-US-02,North,10,100,21,16,33,1.3,50,,
263,BY-US-02,North,20,100,38,33,61,1,50,,
264,BY-US-02,North,30,100,46,41,"10, 161",4.9,40,,
265,BY-US-02,North,40,100,49,44,"4, 175",4.2,40,,
266,BY-US-02,North,50,100,47,42,"7, 10, 16, 152",0.7,20,,
267,BY-US-02,East,10,90,37,32,"7, 22",4.9,40,Fallen Tree,
268,BY-US-02,East,20,90,30,25,,2.9,60,,
269,BY-US-02,East,30,90,51,46,,2.2,60,,
270,BY-US-02,East,40,80,32,27,"1, 2, 8",1.1,50,,
271,BY-US-02,East,50,100,37,32,"1, 3, 43, 52",2.3,30,,
272,BY-US-02,South,10,100,32,27,"3, 17, 146, 147",6,70,,
273,BY-US-02,South,20,100,17,12,3,7,30,,
274,BY-US-02,South,30,100,36,31,"9, 10, 16",3.2,70,,
275,BY-US-02,South,40,100,31,26,"7, 9",0.6,70,,
276,BY-US-02,South,50,50,29,24,,4.1,10,,
277,BY-US-02,West,10,100,30,25,,1.9,40,,
278,BY-US-02,West,20,100,49,44,"8, 17, 46",1.5,50,,
279,BY-US-02,West,30,100,55,50,29,2.5,60,,
280,BY-US-02,West,40,100,30,25,"5, 9",2.9,80,,
281,BY-US-02,West,50,100,41,36,13,5.5,50,,
282,BY-BS-03,North,10,80,16,11,"2, 3, 23, 24",26.7,60,,
283,BY-BS-03,North,20,90,24,19,"3, 12",1.8,20,,
284,BY-BS-03,North,30,80,22,17,"7, 17, 21, 24, 31, 35, 39, 166, 169",0.8,80,,
285,BY-BS-03,North,40,100,21,16,9,4.8,50,,
286,BY-BS-03,North,50,90,23,18,"1, 4, 11",6.1,60,,
287,BY-BS-03,East,10,80,17,12,"5, 6, 7, 8, 25, 31, 42, 48, 51, 70, 76",7.5,50,,
288,BY-BS-03,East,20,80,20,15,"11, 39",3.4,60,,
289,BY-BS-03,East,30,100,20,15,"5, 8, 9, 11, 14, 28",25.8,40,,
290,BY-BS-03,East,40,90,22,17,"2, 25",22.1,20,,
291,BY-BS-03,East,50,90,16,11,"32, 41, 54",13.5,50,,
292,BY-BS-03,South,10,90,24,19,"5, 6, 7, 8, 9, 12, 20, 22, 23, 37, 48",7.9,40,,
293,BY-BS-03,South,20,70,23,18,"11, 12",5,10,,
294,BY-BS-03,South,30,90,18,13,"1, 19, 20, 23",13.9,70,,
295,BY-BS-03,South,40,80,23,18,"6, 7, 11",7.2,50,,
296,BY-BS-03,South,50,80,36,31,"2, 14, 15, 18, 34",19.8,30,,
297,BY-BS-03,West,10,80,23,18,"1, 24, 31",12,50,,
298,BY-BS-03,West,20,90,20,15,"7, 17, 18, 26, 48, 50",17.8,40,,
299,BY-BS-03,West,30,80,22,17,"14, 19, 20, 26",6.8,10,,
300,BY-BS-03,West,40,90,16,11,"9, 47",14.7,60,,
301,BY-BS-03,West,50,80,22,17,"9, 15, 20, 60",16,10,,
302,BY-US-03,North,10,100,24,19,2,2.5,90,,BW
303,BY-US-03,North,20,100,14,9,,1.5,60,,BW
304,BY-US-03,North,30,100,23,18,"8, 9",4,30,,BW
305,BY-US-03,Norh,40,100,23,18,11,2.3,10,,BW
306,BY-US-03,North,50,90,40,35,10,0.2,70,,BW
307,BY-US-03,East,10,90,29,24,"5, 90, 151",7.2,60,,BW
308,BY-US-03,East,20,100,26,21,,2.8,10,,BW
309,BY-US-03,East,30,100,40,35,"17, 162",0.2,80,,BW
310,BY-US-03,East,40,100,30,25,182,0.2,90,,BW
311,BY-US-03,East,50,100,35,30,"3, 94",1,30,,BW
312,BY-US-03,South,10,100,28,23,9,1.7,50,,BW
313,BY-US-03,South,20,100,41,36,"7, 8, 9, 10, 11, 12, 13, 17, 18, 132, 163",3,60,,BW
314,BY-US-03,South,30,80,35,30,"2, 19",3.8,20,,BW
315,BY-US-03,South,40,100,37,32,"4, 5, 15, 17, 21",0.2,40,,BW
316,BY-US-03,South,50,30,20,15,,,0,,BW
317,BY-US-03,West,10,100,25,20,"8, 10, 15, 92",1.6,80,,BW
318,BY-US-03,West,20,100,35,30,"4, 19, 154, 159",6.8,20,,BW
319,BY-US-03,West,30,100,18,13,4,0.2,80,,BW
320,BY-US-03,West,40,90,24,19,"19, 184",0.2,90,,BW
321,BY-US-03,West,50,90,41,36,"11, 39",14.3,30,,BW
322,FC-BS-03,North,10,80,29,24,"8, 9, 10, 17, 30, 44",,0,,
323,FC-BS-03,North,20,20,8,3,"5, 11, 18, 21, 63",,0,,
324,FC-BS-03,North,30,30,16,11,"5, 7, 8, 21",8.7,10,,
325,FC-BS-03,North,40,30,21,16,"5, 10, 11, 28, 66",13,50,,
326,FC-BS-03,North,50,90,28,23,59,9,40,,
327,FC-BS-03,East,10,30,25,20,"25, 39, 42, 55",,0,,
328,FC-BS-03,East,20,70,39,34,7,11.1,60,,
329,FC-BS-03,East,30,40,11,6,,15.1,30,,
330,FC-BS-03,East,40,50,20,15,"19, 34",9.8,20,,
331,FC-BS-03,East,50,30,27,22,"7, 13, 23, 27, 38",,0,,
332,FC-BS-03,South,10,80,16,11,"4, 42, 51, 57, 69",17.9,80,,
333,FC-BS-03,South,20,60,19,14,"10, 12, 16, 19, 25",16.8,30,,
334,FC-BS-03,South,30,60,22,17,"6, 10, 14, 17, 22, 25, 39, 53",0.6,70,,
335,FC-BS-03,South,40,40,15,10,"9, 17, 35, 36, 100",,0,,
336,FC-BS-03,South,50,80,23,18,"9, 10, 13, 15, 20",17.8,20,,
337,FC-BS-03,West,10,90,24,19,40,8.3,60,,
338,FC-BS-03,West,20,80,23,18,12,13.7,50,,
339,FC-BS-03,West,30,50,19,14,11,17.1,20,,
340,FC-BS-03,West,40,80,21,16,"5, 6, 18, 23, 62, 68",,0,,
341,FC-BS-03,West,50,30,18,13,40,13.6,60,,
342,FC-US-03,North,10,70,19,14,"15, 21, 22, 26, 37, 50, 67, 97, 121",,0,,
343,FC-US-03,North,20,90,24,19,"6, 11, 17, 18, 33",2,10,,
344,FC-US-03,North,30,100,33,28,"8, 9, 20, 27, 31",,0,,
345,FC-US-03,North,40,100,32,27,"8, 40",3.9,40,,
346,FC-US-03,North,50,100,21,16,"38, 42, 61, 62, 123, 142, 185",0.2,30,,
347,FC-US-03,East,10,40,12,7,"173, 176, 180",,0,,
348,FC-US-03,East,20,100,25,20,"58, 69, 70, 74, 84",2.3,50,,
349,FC-US-03,East,30,90,38,33,,9.9,20,,
350,FC-US-03,East,40,100,32,27,"5, 16, 25, 88, 136, 140",,0,,
351,FC-US-03,East,50,100,27,22,"33, 52, 55, 66, 84, 118, 119, 143, 144, 145, 146, 147",,0,,
352,FC-US-03,South,10,50,20,15,"9, 10, 11, 40, 49",,0,,
353,FC-US-03,South,20,70,27,22,"25, 65, 80",1,60,,
354,FC-US-03,South,30,100,36,31,"9, 29, 138, 155, 165",0.2,60,,
355,FC-US-03,South,40,80,20,15,"35, 45, 49, 62, 72, 77, 83, 84, 85, 86, 87, 88, 89",,0,,
356,FC-US-03,South,50,30,15,10,"12, 13, 20, 21, 22, 23, 24, 25, 31, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 82, 158",,0,,
357,FC-US-03,West,10,60,17,12,"16, 17, 45, 44, 48, 52, 53, 54, 55, 56",,0,,
358,FC-US-03,West,20,100,30,25,"53, 54, 72, 73, 88, 97, 99, 127, 130, 150",8.1,10,,
359,FC-US-03,West,30,100,25,20,"51, 71",6.4,20,,
360,FC-US-03,West,40,90,18,13,"8, 23, 34, 42, 43, 49, 50, 51, 58, 72, 137",,0,,
361,FC-US-03,West,50,90,31,26,"25, 47, 71, 76, 77, 78, 79, 80, 81, 82, 83, 100, 110, 115, 143, 144, 145",5.7,40,,
362,FC-BS-02,North,10,20,15,10,"67, 68, 69, 70, 71, 72, 73, 74",12.8,10,,
363,FC-BS-02,North,20,40,19,14,"36, 45, 48, 56, 73",,0,,
364,FC-BS-02,North,30,70,22,17,"15, 16, 17, 54",12.2,30,,
365,FC-BS-02,North,40,90,24,19,"32, 137, 143, 146, 150",15.4,10,,
366,FC-BS-02,North,50,90,50,45,"10, 37, 168, 169, 170, 171, 173, 174, 175, 176, 177, 178, 179, 180, 181, 183",,0,,
367,FC-BS-02,East,10,70,26,21,"17, 18, 19, 20, 21, 22, 29, 31, 56",,0,,
368,FC-BS-02,East,20,50,14,9,,16,10,,
369,FC-BS-02,East,30,20,25,20,"7, 79",17.8,20,,
370,FC-BS-02,East,40,80,30,25,"29, 121",16.3,40,,
371,FC-BS-02,East,50,40,22,17,,,0,,
372,FC-BS-02,South,10,40,41,36,"56, 59, 81",11.8,10,,
373,FC-BS-02,South,20,100,38,33,,,0,,
374,FC-BS-02,South,30,40,25,20,"19, 26, 37, 42, 52",18.6,10,,
375,FC-BS-02,South,40,30,40,35,"11, 19, 51, 68",6.9,40,,
376,FC-BS-02,South,50,40,18,13,"19, 22, 38, 42, 76",,0,,
377,FC-BS-02,West,10,60,35,30,"23, 31, 55",10.8,10,,
378,FC-BS-02,West,20,20,17,12,"12, 27, 47, 65",,0,,
379,FC-BS-02,West,30,50,25,20,"8, 18, 21, 23, 24, 25, 26, 27",10.8,20,,
380,FC-BS-02,West,40,50,39,34,,13.4,10,,
381,FC-BS-02,West,50,30,25,20,"10, 17, 21",,0,,
382,FC-US-02,North,10,80,33,28,"24, 25, 32, 36",7.4,20,,
383,FC-US-02,North,20,90,37,32,"12, 20",12.8,10,,
384,FC-US-02,North,30,100,32,27,1,11.8,30,,
385,FC-US-02,North,40,90,31,26,"7, 64",0.2,60,,
386,FC-US-02,North,50,100,36,31,,16.6,30,,
387,FC-US-02,East,10,100,42,37,18,4,60,,
388,FC-US-02,East,20,100,34,29,"40, 75, 85, 87, 95, 96, 97, 98, 99, 100, 102, 110, 112, 113, 114, 115, 122",,0,,
389,FC-US-02,East,30,80,21,16,"22, 49, 60, 68, 70, 71, 73, 74, 84, 89, 90, 111, 117, 118, 122, 124, 130, 132",12.8,30,,
390,FC-US-02,East,40,100,51,46,"14, 19, 20, 24, 27, 29, 34, 49",1.6,10,,
391,FC-US-02,East,50,100,44,39,"6, 29, 31",5.8,10,,
392,FC-US-02,South,10,100,30,25,"5, 6, 9, 17, 33",4,20,,
393,FC-US-02,South,20,90,20,15,"6, 7, 13, 14, 15, 19, 23",14.8,10,,
394,FC-US-02,South,30,60,28,23,"6, 35, 198, 199",0.2,10,,
395,FC-US-02,South,40,90,16,11,8,1.1,10,,
396,FC-US-02,South,50,100,54,49,"1, 13, 25, 48",0.7,80,,
397,FC-US-02,West,10,90,40,35,"24, 39",3,30,,
398,FC-US-02,West,20,100,35,30,,3.5,30,,
399,FC-US-02,West,30,100,26,21,"7, 9, 10, 12, 26, 30, 31, 32, 33, 34, 35, 40, 41, 54",23.8,10,,
400,FC-US-02,West,40,100,46,41,"22, 66, 83, 84, 85, 86, 97, 106, 117",6.5,50,,
401,FC-US-02,West,50,100,27,22,"12, 20, 22, 34, 52, 99, 97, 105, 110, 111, 126, 134, 147, 140, 143, 148, 150, 157, 177",,0,,
