1,Site,Bearing,Point,Litter Cover,Litter Depth OG,Litter Depth,Undergrowth,Growth >2m,Canopy Cover,Notes,Recorder
402,FC-BS-01,North,5,50,19,14,"7, 8, 9, 10, ",,0,,
403,FC-BS-01,North,10,20,7,2,"5, 6, 17, 23",12.3,10,,
404,FC-BS-01,North,15,20,8,3,"16, 24, 27, 29, 33, 41",2.7,10,,
405,FC-BS-01,North,20,10,13,8,"6, 7, 14, 40, 49",,0,,
406,FC-BS-01,North,25,10,10,5,"7, 8, 15, 18, 22, 29",3.3,50,,
407,FC-BS-01,North,30,30,18,13,"9, 14, 50",14.3,0,,
408,FC-BS-01,North,35,10,17,12,"1, 5, 8, 15, 19",,0,,
409,FC-BS-01,North,40,50,10,5,14,8.1,10,,
410,FC-BS-01,North,45,80,20,15,"3, 4, 12",11.5,10,Fallen Tree,
411,FC-BS-01,North,50,40,18,13,"5, 7, 9, 12, 16, 17, 18, 19, 20, 22",11.6,20,Fallen Tree,
412,FC-BS-01,East,5,30,24,19,"7, 9, 10, 11, 16, 17, 33",13,20,,
413,FC-BS-01,East,10,60,18,13,20,12.8,10,Log,
414,FC-BS-01,East,15,60,15,10,"2, 14",9.7,40,,
415,FC-BS-01,East,20,20,18,13,"3, 4, 6, 9, 10, 11, 14, 30, 44, 62",3.4,50,,
416,FC-BS-01,East,25,30,11,6,"16, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 37, 39",0.9,30,,
417,FC-BS-01,East,30,10,8,3,,9,10,,
418,FC-BS-01,East,35,30,22,17,,1.7,40,,
419,FC-BS-01,East,40,10,8,3,,,0,,
420,FC-BS-01,East,45,10,9,4,"1, 14",,0,,
421,FC-BS-01,East,50,20,10,5,"26, 29, 32, 39, 41, 46",15.7,10,,
422,FC-BS-01,South,5,20,18,13,"7, 20, 21",,0,,
423,FC-BS-01,South,10,30,18,13,"4, 10, 11, 14, 15",13.5,10,,
424,FC-BS-01,South,15,50,23,18,"9, 10, 11, 12, 13, 14, 46",9.6,20,,
425,FC-BS-01,South,20,30,11,6,11,18.2,10,,
426,FC-BS-01,South,25,30,15,10,3,5.9,50,,
427,FC-BS-01,South,30,40,14,9,20,15.9,0,,
428,FC-BS-01,South,35,40,15,10,9,,0,,
429,FC-BS-01,South,40,40,19,14,"8, 30",11.6,10,,
430,FC-BS-01,South,45,20,16,11,"10, 14, 15",10.8,10,,
431,FC-BS-01,South,50,30,11,6,"2, 14, 15, 16, 39",12.8,50,,
432,FC-BS-01,West,5,10,13,8,"2, 5, 14, 28, 51",,0,Log,
433,FC-BS-01,West,10,20,19,14,"4, 6, 16, 18, 36, 53, 82",1.8,70,,
434,FC-BS-01,West,15,30,10,5,"1, 43, 44, 45, 46, 47, 48",9.9,50,,
435,FC-BS-01,West,20,40,10,5,"4, 14, 15, 17, 18, 19, 20, 21, 22, 23, 32",10.3,40,,
436,FC-BS-01,West,25,20,16,11,"3, 4, 7, 12, 18, 19, 20, 21, 22, 23, 31, 38",13.7,10,,
437,FC-BS-01,West,30,20,14,9,"1, 3, 5, 24, 29, 44, 59, 66",13.8,0,,
438,FC-BS-01,West,35,30,19,14,"1, 4, 40, 42, 46",7.7,0,,
439,FC-BS-01,West,40,30,11,6,"11, 13, 17, 23, 35",10.8,20,,
440,FC-BS-01,West,45,10,7,2,"15, 16, 20",16.2,20,,
441,FC-BS-01,West,50,30,14,9,"11, 18, 34, 45, 50",7.8,30,,
442,FC-US-01,North,10,70,25,20,"17, 24, 39, 27, 63, 82",,0,,
443,FC-US-01,North,20,90,30,25,"11, 15, 79",9.5,20,,
444,FC-US-01,North,30,90,28,23,"7, 12, 23, 35",7.3,10,,
445,FC-US-01,North,40,100,37,32,"4, 43",0.2,50,,
446,FC-US-01,North,50,100,35,30,"6, 12, 25",1.8,10,,
447,FC-US-01,East,10,100,23,18,"7, 8, 10, 17",3.1,0,,
448,FC-US-01,East,20,80,21,16,"15, 24, 36, 187",0.8,0,,
449,FC-US-01,East,30,100,87,82,"6, 13, 28, 63, 92, 93, 94, 95, 96, 97, 98",0.2,40,,
450,FC-US-01,East,40,90,70,65,"24, ",3.4,0,,
451,FC-US-01,East,50,70,39,34,,6.1,0,,
452,FC-US-01,South,5,100,29,24,"14, 20, 58",,0,,
453,FC-US-01,South,10,90,30,25,"29, 30, 31, 32, 33, 34, 35, 36, 37",11.6,20,,
454,FC-US-01,South,15,100,24,19,5,10.9,30,,
455,FC-US-01,South,20,90,40,35,"31, 54",,0,,
456,FC-US-01,South,25,100,33,28,"25, 29, 39",0.2,30,,
457,FC-US-01,West,5,100,23,18,"5, 10, 11, 12, 13, 16, 22",,30,,
458,FC-US-01,West,10,90,30,25,"11, 13, 22, 29, 32, 38, 45, 40, 120",,20,,
459,FC-US-01,West,15,100,26,21,"10, 15, 23, 32, 36",1.9,60,,
460,FC-US-01,West,20,100,23,18,56,,20,,
461,FC-US-01,West,25,100,25,20,"18, 19, 26, 36, 57",,20,,
462,BR-BR-01,North,5,90,29,24,"14, 30, 39, 51",1.6,70,,
463,BR-BR-01,North,10,100,33,28,33,3.4,10,Fallen Tree,
464,BR-BR-01,North,15,100,40,35,"2, 11, 12, 36",9.7,60,,
465,BR-BR-01,North,20,100,24,19,,7.3,90,,
466,BR-BR-01,North,25,50,44,39,,0.2,90,Rocks,
467,BR-BR-01,North,30,60,54,49,19,0.6,90,Rocks,
468,BR-BR-01,North,35,100,42,37,,2.4,90,Rocks,
469,BR-BR-01,North,40,90,42,37,,2.3,90,Rocks,
470,BR-BR-01,North,45,40,12,7,"1, 27, 39, 50",6.1,80,Rocks,
471,BR-BR-01,North,50,20,11,6,,2.4,70,Rocks,
472,BR-BR-01,East,5,80,19,14,"23, 32, 47, 56, 66",13.1,60,,
473,BR-BR-01,East,10,40,28,23,"27, 53, 66, 83",7.2,70,,
474,BR-BR-01,East,15,50,16,11,"4, 6, 13, 20, 33, 44, 53, 91",6.2,70,Rocks,
475,BR-BR-01,East,20,20,48,43,"4, 27",7.9,50,Rocks,
476,BR-BR-01,East,25,90,71,66,,6.8,70,Rocks,
477,BR-BR-01,East,30,20,81,76,,6.1,70,Rocks,
478,BR-BR-01,East,35,80,28,23,"13, 22",4.3,70,Rocks,
479,BR-BR-01,East,40,10,85,80,100,2.8,60,Rocks,
480,BR-BR-01,East,45,70,57,52,,8.6,70,Rocks,
481,BR-BR-01,East,50,40,35,30,,1.5,50,Rocks,
482,BR-BR-01,South,5,30,33,28,"7, 10, 13, 72, 100",3.3,70,,
483,BR-BR-01,South,10,70,57,52,"82, 106, 148",11.8,60,,
484,BR-BR-01,South,15,40,20,15,,6.5,90,,
485,BR-BR-01,South,20,90,32,27,,8.5,90,,
486,BR-BR-01,South,25,100,34,29,12,10.3,90,,
487,BR-BR-01,South,30,90,29,24,,10,80,,
488,BR-BR-01,South,35,70,15,10,"3, 6, 12, 20, 22, 30",3.6,90,,
489,BR-BR-01,South,40,100,45,40,"18, 36, 56, 69",1,80,,
490,BR-BR-01,South,45,90,27,22,"31, 124, 128",5,30,,
491,BR-BR-01,South,50,90,46,41,"19, 185",2.8,80,,
492,BR-BR-01,West,5,100,27,22,"4, 16, 27, 54",19.9,50,,
493,BR-BR-01,West,10,100,44,39,1,4.1,90,,
494,BR-BR-01,West,15,50,39,34,,26,60,,
495,BR-BR-01,West,20,90,22,17,,0.2,70,,
496,BR-BR-01,West,25,100,14,9,,4.9,70,,
497,BR-BR-01,West,30,100,17,12,,2.8,80,,
498,BR-BR-01,West,35,90,24,19,"9, 18",17.9,50,,
499,BR-BR-01,West,40,90,21,16,,3.7,70,,
500,BR-BR-01,West,45,80,16,11,,16.8,80,,
501,BR-BR-01,West,50,100,27,22,"12, 45",4.1,80,,
502,BR-UR-01,North,5,70,56,51,"88, 100, 114, 147, 190",0.2,100,Rocks,
503,BR-UR-01,North,10,90,42,37,,10.3,30,Rocks,
504,BR-UR-01,North,15,50,20,15,,4.3,80,Rocks,
505,BR-UR-01,North,20,30,16,11,,2.7,90,Rocks,
506,BR-UR-01,North,25,20,16,11,,2.7,90,Rocks,
507,BR-UR-01,North,30,30,22,17,,2,70,Rocks,
508,BR-UR-01,North,35,40,16,11,"141, 144, 147, 191",0.2,80,Rocks,
509,BR-UR-01,North,40,20,44,39,,3.4,40,"Rocks, Burnt",
510,BR-UR-01,North,45,40,37,32,,12.8,40,"Rocks, Burnt",
511,BR-UR-01,North,50,30,24,19,,30.9,50,"Rocks, Burnt",
512,BR-UR-01,East,5,90,72,67,191,1.1,90,Rocks,
513,BR-UR-01,East,10,80,28,23,"10, 20",7,50,Rocks,
514,BR-UR-01,East,15,50,54,49,,16.3,70,Rocks,
515,BR-UR-01,East,20,60,32,27,,0.6,90,Rocks,
516,BR-UR-01,East,25,40,34,29,,1.8,90,Rocks,
517,BR-UR-01,East,30,80,27,22,,10.8,90,Rocks,
518,BR-UR-01,East,35,70,33,28,"63, 110",10.4,90,Rocks,
519,BR-UR-01,East,40,30,10,5,"13, 181, 195",1.9,90,Rocks,
520,BR-UR-01,East,45,20,45,40,,5.5,90,Rocks,
521,BR-UR-01,East,50,80,30,25,"17, 20, 180, 187",0.9,90,Rocks,
522,BR-UR-01,South,5,100,48,43,,10.7,90,,
523,BR-UR-01,South,10,100,54,49,"87, 96",2.5,90,,
524,BR-UR-01,South,15,100,27,22,,1.1,90,,
525,BR-UR-01,South,20,100,47,42,"64, 68, 142",0.2,50,,
526,BR-UR-01,South,25,100,50,45,,7.8,80,,
527,BR-UR-01,South,30,90,31,26,190,1.3,80,,
528,BR-UR-01,South,35,100,44,39,,3.9,50,,
529,BR-UR-01,South,40,100,31,26,"54, 106, 127, 189",0.6,100,,
530,BR-UR-01,South,45,100,42,37,"115, 142",0.6,100,,
531,BR-UR-01,South,50,90,17,12,,1.5,80,,
532,BR-UR-01,West,5,90,17,12,,1.5,70,,
533,BR-UR-01,West,10,100,20,15,90,3.9,70,,
534,BR-UR-01,West,15,40,59,54,,6.3,80,Rocks,
535,BR-UR-01,West,20,90,25,20,,2.5,70,,
536,BR-UR-01,West,25,60,17,12,,3.8,80,Rocks,
537,BR-UR-01,West,30,80,74,69,,14.2,80,Rocks,
538,BR-UR-01,West,35,90,108,103,,3.4,90,,
539,BR-UR-01,West,40,90,32,27,37,3.9,90,,
540,BR-UR-01,West,45,90,47,42,,1.1,90,,
541,BR-UR-01,West,50,60,66,61,,18.8,80,,
542,BR-BR-02,North,5,100,58,53,"25, 74",15,30,,
543,BR-BR-02,North,10,100,64,59,"60, 76, 77, 99",11.9,30,,
544,BR-BR-02,North,15,20,44,39,42,16.2,40,,
545,BR-BR-02,North,20,80,22,17,"40, 72",8,40,,
546,BR-BR-02,North,25,90,28,23,,,70,,
547,BR-BR-02,North,30,30,20,15,,10.7,60,,
548,BR-BR-02,North,35,80,24,19,33,3.2,70,,
549,BR-BR-02,North,40,100,21,16,,3.8,80,Rocks,
550,BR-BR-02,North,45,90,30,25,5,5.4,90,Rocks,
551,BR-BR-02,North,50,90,44,39,,5.8,70,,
552,BR-BR-02,East,5,60,62,57,"49, 64",35.5,60,,
553,BR-BR-02,East,10,10,14,9,,1.9,60,,
554,BR-BR-02,East,15,10,44,39,,2.5,50,,
555,BR-BR-02,East,20,20,36,31,"137, 146",2,60,,
556,BR-BR-02,East,25,30,62,57,,2.1,40,,
557,BR-BR-02,East,30,80,32,27,,10.5,70,,
558,BR-BR-02,East,35,60,57,52,5,3.1,80,,
559,BR-BR-02,East,40,20,32,27,124,30.2,90,,
560,BR-BR-02,East,45,80,19,14,,12,80,,
561,BR-BR-02,East,50,100,37,32,,2.3,30,,
562,BR-BR-02,South,5,30,24,19,174,2.1,90,,
563,BR-BR-02,South,10,90,36,31,"3, 15, 16, 177, 198",4.4,60,,
564,BR-BR-02,South,15,90,36,31,"19, 36, 101, 110, 114, 152, 156",13.8,10,Fallen Tree,
565,BR-BR-02,South,20,100,29,24,"58, 82, 95, 102",23.7,10,Fallen Tree,
566,BR-BR-02,South,25,80,23,18,"4, 16, 18, 26, 28, 35, 36, 68",17.5,0,Fallen Tree,
567,BR-BR-02,South,30,60,17,12,"1, 13, 45, 54, 63, 78, 100",24.5,0,Fallen Tree,
568,BR-BR-02,South,35,80,25,20,"11, 33, 43, 87, 134, 147",28.1,0,Fallen Tree,
569,BR-BR-02,South,40,100,19,14,"15, 26, 28, 84, 109",6.2,50,,
570,BR-BR-02,South,45,100,28,23,"10, 100",8,30,,
571,BR-BR-02,South,50,100,48,43,"25, 62, 67, 78, 122, 140, 183",10.7,60,,
572,BR-BR-02,West,5,80,12,7,,2.2,70,,
573,BR-BR-02,West,10,90,49,44,,11.5,80,,
574,BR-BR-02,West,15,100,40,35,,5.1,90,,
575,BR-BR-02,West,20,90,21,16,110,7.6,90,,
576,BR-BR-02,West,25,30,109,104,199,0.2,90,,
577,BR-BR-02,West,30,100,38,33,4,0.7,80,,
578,BR-BR-02,West,35,100,41,36,"2, 5, 8, 21",12.3,50,,
579,BR-BR-02,West,40,90,36,31,,5.8,50,,
580,BR-BR-02,West,45,100,9,4,"1, 6, 15, 16, 22, 33, 43, 46, 51, 52",15.8,20,,
581,BR-BR-02,West,50,100,44,39,"8, 29, 52",9.9,10,,
582,BR-UR-02,North,5,90,64,59,"121, 199",0.2,90,,
583,BR-UR-02,North,10,100,55,50,"143, 149, 152",7.5,90,,
584,BR-UR-02,North,15,100,84,79,,23.1,60,,
585,BR-UR-02,North,20,100,55,50,"104, 106, 109, 112, 118",0.2,50,,
586,BR-UR-02,North,25,100,67,62,"169, 197",0.2,90,,
587,BR-UR-02,North,30,100,53,48,"40, 81",0.2,90,,
588,BR-UR-02,North,35,50,17,12,12,13.3,60,,
589,BR-UR-02,North,40,100,34,29,"14, 17, 37",7.4,60,,
590,BR-UR-02,North,45,100,22,17,,5.4,70,,
591,BR-UR-02,North,50,100,32,27,,7.6,80,,
592,BR-UR-02,East,5,100,85,80,,3.3,90,,
593,BR-UR-02,East,10,100,41,36,"57, 155, 160",0.2,100,,
594,BR-UR-02,East,15,90,44,39,,0.8,80,,
595,BR-UR-02,East,20,90,50,45,80,3.1,80,,
596,BR-UR-02,East,25,100,38,33,,0.2,90,,
597,BR-UR-02,East,30,100,36,31,126,0.9,90,,
598,BR-UR-02,East,35,100,34,29,,0.8,90,,
599,BR-UR-02,East,40,100,80,75,"78, 148, 173, 190",0.2,90,,
600,BR-UR-02,East,45,100,75,70,,1.7,70,,
601,BR-UR-02,East,50,100,77,72,150,0.2,90,,
602,BR-UR-02,South,5,100,45,40,193,0.2,90,,
603,BR-UR-02,South,10,100,29,24,,8.8,80,,
604,BR-UR-02,South,15,100,35,30,"97, 117, 160, 186, 191",5.5,90,,
605,BR-UR-02,South,20,100,20,15,,0.2,90,,
606,BR-UR-02,South,25,100,55,50,"67, 123",2.3,80,,
607,BR-UR-02,South,30,100,36,31,,3,90,,
608,BR-UR-02,South,35,100,24,19,156,0.2,90,,
609,BR-UR-02,South,40,100,37,32,137,3.7,90,,
610,BR-UR-02,South,45,100,19,14,,17.9,80,,
611,BR-UR-02,South,50,100,29,24,,10,90,,
612,BR-UR-02,West,5,90,13,8,,2.3,90,,
613,BR-UR-02,West,10,100,42,37,"188, 191, 195",0.2,90,,
614,BR-UR-02,West,15,70,37,32,1,18.3,20,,
615,BR-UR-02,West,20,100,40,35,,1.4,90,,
616,BR-UR-02,West,25,100,23,18,96,0.2,80,,
617,BR-UR-02,West,30,80,16,11,,9.5,60,Burnt,
618,BR-UR-02,West,35,90,22,17,7,5.4,70,Burnt,
619,BR-UR-02,West,40,90,29,24,,6.8,80,Burnt,
620,BR-UR-02,West,45,100,13,8,,5.3,70,Burnt,
621,BR-UR-02,West,50,100,50,45,,12.1,70,Burnt,
622,BR-BR-03,North,5,30,80,75,"8, 13, 18",14.2,80,,BP
623,BR-BR-03,North,10,90,23,18,"17, 20, 26, 34",8.5,70,,BP
624,BR-BR-03,North,15,100,29,24,"1, 4, 7",15,10,,BP
625,BR-BR-03,North,20,80,19,14,"1, 3, 14, 21, 26, 39",12.8,20,,BP
626,BR-BR-03,North,25,50,46,41,10,6.8,40,,BP
627,BR-BR-03,North,30,30,27,22,"11, 26",5.2,60,Log,BP
628,BR-BR-03,North,35,40,28,23,4,7.9,80,Rocks,BP
629,BR-BR-03,North,40,80,26,21,"51, 59",25.1,40,Rocks,BP
630,BR-BR-03,North,45,60,61,56,2,13.8,70,Rocks,BP
631,BR-BR-03,North,50,100,43,38,"5, 21, 79, 101",10.8,80,Rocks,BP
632,BR-BR-03,East,5,70,53,48,"16, 29",6.8,100,,BP
633,BR-BR-03,East,10,80,29,24,,9.8,90,,BP
634,BR-BR-03,East,15,80,80,75,,4.1,90,Rocks,BP
635,BR-BR-03,East,20,70,22,17,,4.5,90,Rocks,BP
636,BR-BR-03,East,25,90,41,36,,5.2,90,Rocks,BP
637,BR-BR-03,East,30,90,42,37,,4.4,80,Rocks,BP
638,BR-BR-03,East,35,10,51,46,,4,80,Rocks,BP
639,BR-BR-03,East,40,80,59,54,,5.8,80,Rocks,BP
640,BR-BR-03,East,45,30,24,19,,3.5,90,Rocks,BP
641,BR-BR-03,East,50,90,46,41,,5,90,Rocks,BP
642,BR-BR-03,South,5,90,27,22,,9.2,90,,BP
643,BR-BR-03,South,10,90,50,45,,7.7,90,,BP
644,BR-BR-03,South,15,70,17,12,"28, 32, 34",26.2,60,,BP
645,BR-BR-03,South,20,30,30,25,,22.7,30,Fallen Tree,BP
646,BR-BR-03,South,25,10,32,27,"1, 5, 7, 9",11.4,50,Fallen Tree,BP
647,BR-BR-03,South,30,100,18,13,7,13.6,70,,BP
648,BR-BR-03,South,35,60,12,7,2,12.8,50,,BP
649,BR-BR-03,South,40,80,19,14,,8.1,60,,BP
650,BR-BR-03,South,45,80,11,6,,3.9,80,,BP
651,BR-BR-03,South,50,100,36,31,,6.7,40,,BP
652,BR-BR-03,West,5,90,27,22,,12.2,80,,BP
653,BR-BR-03,West,10,100,14,9,,8.8,80,,BP
654,BR-BR-03,West,15,100,42,37,,6.2,90,,BP
655,BR-BR-03,West,20,60,28,23,,17.9,70,,BP
656,BR-BR-03,West,25,100,45,40,7,16,70,,BP
657,BR-BR-03,West,30,100,21,16,,13.8,70,,BP
658,BR-BR-03,West,35,100,42,37,,9.9,90,,BP
659,BR-BR-03,West,40,100,30,25,,2.7,90,,BP
660,BR-BR-03,West,45,90,39,34,"3, 7",5.8,60,,BP
661,BR-BR-03,West,50,100,35,30,"9, 10",0.2,60,,BP
662,BR-UR-03,North,5,100,29,24,"26, 39",1.9,100,,BP
663,BR-UR-03,North,10,90,44,39,,0.2,90,,BP
664,BR-UR-03,North,15,80,22,17,"182, 187, 195",1.8,100,Rocks,BP
665,BR-UR-03,North,20,70,19,14,"161, 167, 170, 174",7,90,,BP
666,BR-UR-03,North,25,100,44,39,"88, 92, 100",2.7,90,,BP
667,BR-UR-03,North,30,70,21,16,14,0.2,90,,BP
668,BR-UR-03,North,35,60,28,23,,1.4,100,Rocks,BP
669,BR-UR-03,North,40,90,38,33,197,0.2,90,,BP
670,BR-UR-03,North,45,90,25,20,"73, 146, 172",0.2,90,,BP
671,BR-UR-03,North,50,90,13,8,99,2,80,,BP
672,BR-UR-03,East,5,100,40,35,20,0.2,90,,BP
673,BR-UR-03,East,10,100,44,39,142,0.2,100,,BP
674,BR-UR-03,East,15,80,11,6,50,0.2,100,,BP
675,BR-UR-03,East,20,90,56,51,"140, 147, 167",5,90,,BP
676,BR-UR-03,East,25,90,52,47,,1.7,80,,BP
677,BR-UR-03,East,30,100,42,37,,13.2,90,,BP
678,BR-UR-03,East,35,90,46,41,,11.4,80,"Rocks, Burnt",BP
679,BR-UR-03,East,40,100,39,34,42,11.8,40,"Rocks, Burnt",BP
680,BR-UR-03,East,45,20,21,16,26,18.3,30,"Rocks, Burnt",BP
681,BR-UR-03,East,50,40,48,43,"1, 24, 39, 100",24.8,60,"Rocks, Burnt",BP
682,BR-UR-03,South,5,90,32,27,,0.8,100,,BP
683,BR-UR-03,South,10,90,20,15,,6.5,100,,BP
684,BR-UR-03,South,15,80,61,56,,4.4,90,,BP
685,BR-UR-03,South,20,100,34,29,73,15.6,80,,BP
686,BR-UR-03,South,25,100,37,32,71,1.8,100,,BP
687,BR-UR-03,South,30,90,74,69,,5.1,100,,BP
688,BR-UR-03,South,35,100,92,87,"59, 198",0.2,100,,BP
689,BR-UR-03,South,40,80,56,51,"23, 152, 156",0.2,90,,BP
690,BR-UR-03,South,45,50,59,54,,0.8,80,Rocks,BP
691,BR-UR-03,South,50,40,32,27,,7.1,90,Rocks,BP
692,BR-UR-03,West,5,90,74,69,"105, 112, 122, 128, 132",24.9,90,,BP
693,BR-UR-03,West,10,90,29,24,"15, 188, 200",12.8,100,,BP
694,BR-UR-03,West,15,90,16,11,,13.5,80,,BP
695,BR-UR-03,West,20,100,22,17,"55, 183, 199",0.2,100,,BP
696,BR-UR-03,West,25,100,20,15,,5.2,90,,BP
697,BR-UR-03,West,30,100,35,30,,1.1,90,,BP
698,BR-UR-03,West,35,100,66,61,139,8.6,90,,BP
699,BR-UR-03,West,40,100,46,41,"184, 191",1,100,,BP
700,BR-UR-03,West,45,90,35,30,,0.8,90,,BP
701,BR-UR-03,West,50,80,63,58,"42, 57, 102, 153, 197",0.2,100,,BP
702,BR-BR-04,North,5,100,31,26,"108, 196",2.3,90,,
703,BR-BR-04,North,10,100,46,41,,10.1,80,,
704,BR-BR-04,North,15,100,54,49,,9.1,90,,
705,BR-BR-04,North,20,90,17,12,,6.5,90,,
706,BR-BR-04,North,25,100,74,69,16,1.5,100,,
707,BR-BR-04,North,30,100,42,37,,1.6,90,,
708,BR-BR-04,North,35,90,49,44,140,0.2,90,,
709,BR-BR-04,North,40,100,21,16,"177, 183",5.3,90,,
710,BR-BR-04,North,45,100,65,60,"90, 189",1.1,90,,
711,BR-BR-04,North,50,80,34,29,193,3.2,70,,
712,BR-BR-04,East,5,30,19,14,"50, 82, 200",,80,,
713,BR-BR-04,East,10,20,27,22,,4.7,70,,
714,BR-BR-04,East,15,60,19,14,,1.3,90,,
715,BR-BR-04,East,20,20,18,13,"92, 95",0.2,90,,
716,BR-BR-04,East,25,60,40,35,,1,80,,
717,BR-BR-04,East,30,90,25,20,,17.1,60,,
718,BR-BR-04,East,35,50,14,9,"175, 185",0.2,70,,
719,BR-BR-04,East,40,90,17,12,145,0.9,80,,
720,BR-BR-04,East,45,90,25,20,,1.5,90,,
721,BR-BR-04,East,50,100,43,38,11,3,90,,
722,BR-BR-04,South,5,100,110,105,,26,40,,
723,BR-BR-04,South,10,100,28,23,"44, 73, 76, 84, 86, 93",6.9,60,,
724,BR-BR-04,South,15,100,13,8,,8,40,,
725,BR-BR-04,South,20,100,46,41,"20, 27",0.2,50,,
726,BR-BR-04,South,25,90,24,19,"10, 14",11.5,40,,
727,BR-BR-04,South,30,100,25,20,,1.7,80,,
728,BR-BR-04,South,35,80,12,7,,2.9,40,,
729,BR-BR-04,South,40,20,14,9,,29,40,,
730,BR-BR-04,South,45,30,11,6,"7, 14",36.9,40,,
731,BR-BR-04,South,50,90,19,14,"27, 50",21.5,30,,
732,BR-BR-04,West,5,100,82,77,,22,80,,
733,BR-BR-04,West,10,80,42,37,196,11.8,80,,
734,BR-BR-04,West,15,100,32,27,,4.3,90,,
735,BR-BR-04,West,20,100,35,30,198,0.8,90,,
736,BR-BR-04,West,25,90,24,19,,8.3,90,,
737,BR-BR-04,West,30,100,15,10,112,1.7,90,,
738,BR-BR-04,West,35,90,14,9,143,1.4,90,,
739,BR-BR-04,West,40,60,13,8,128,11.7,80,,
740,BR-BR-04,West,45,90,17,12,"62, 75, 133, 139",2.3,90,,
741,BR-BR-04,West,50,90,19,14,22,1.1,90,,
742,BR-UR-04,North,5,100,42,37,47,12.1,90,,
743,BR-UR-04,North,10,90,73,68,,2.6,90,,
744,BR-UR-04,North,15,90,36,31,147,3.4,90,,
745,BR-UR-04,North,20,80,25,20,"47, 48, 84, 126",0.2,80,,
746,BR-UR-04,North,25,40,15,10,,2.2,70,,
747,BR-UR-04,North,30,20,47,42,,15.1,50,Fallen Tree,
748,BR-UR-04,North,35,70,19,14,,8,50,Fallen Tree,
749,BR-UR-04,North,40,90,20,15,"115, 121, 162, 191",11.7,20,Fallen Tree,
750,BR-UR-04,North,45,60,39,34,"7, 10, 13, 14, 20, 27",5.4,60,,
751,BR-UR-04,North,50,90,32,27,,12.3,90,,
752,BR-UR-04,East,5,90,34,29,,18.1,90,,
753,BR-UR-04,East,10,80,20,15,30,2.2,70,,
754,BR-UR-04,East,15,90,30,25,,17.1,70,,
755,BR-UR-04,East,20,80,14,9,,12.8,80,,
756,BR-UR-04,East,25,50,42,37,,5.5,90,Rocks,
757,BR-UR-04,East,30,20,82,77,,3.9,90,Rocks,
758,BR-UR-04,East,35,100,88,83,,20.9,70,,
759,BR-UR-04,East,40,100,210,205,,22,60,,
760,BR-UR-04,East,45,100,170,165,,5,70,,
761,BR-UR-04,East,50,80,20,15,,0.2,90,,
762,BR-UR-04,South,5,70,30,25,"170, 185",2,90,,
763,BR-UR-04,South,10,90,20,15,,0.2,90,,
764,BR-UR-04,South,15,80,38,33,,1.5,90,,
765,BR-UR-04,South,20,100,50,45,"63, 118",0.2,100,,
766,BR-UR-04,South,25,30,52,47,"158, 167",0.2,100,,
767,BR-UR-04,South,30,10,46,41,"167, 193",0.2,90,,
768,BR-UR-04,South,35,90,50,45,,0.2,90,,
769,BR-UR-04,South,40,100,53,48,,0.2,80,,
770,BR-UR-04,South,45,100,104,99,"74, 121, 132",9.7,60,,
771,BR-UR-04,South,50,90,32,27,,5.7,80,,
772,BR-UR-04,West,5,60,46,41,,0.2,90,,
773,BR-UR-04,West,10,60,18,13,,5.2,90,,
774,BR-UR-04,West,15,60,53,48,176,0.2,90,,
775,BR-UR-04,West,20,30,21,16,,0.2,90,,
776,BR-UR-04,West,25,50,44,39,25,20,80,,
777,BR-UR-04,West,30,70,30,25,122,0.2,90,,
778,BR-UR-04,West,35,90,33,28,,2.3,90,,
779,BR-UR-04,West,40,100,32,27,23,5.1,90,,
780,BR-UR-04,West,45,70,29,24,,2,90,,
781,BR-UR-04,West,50,90,25,20,95,1.3,80,,
782,BR-BR-05,North,5,100,20,15,,17.8,80,,BP
783,BR-BR-05,North,10,100,42,37,,10.4,90,,BP
784,BR-BR-05,North,15,100,32,27,,3.8,90,,BP
785,BR-BR-05,North,20,100,29,24,,0.2,90,,BP
786,BR-BR-05,North,25,100,22,17,"43, 52",3.8,100,,BP
787,BR-BR-05,North,30,80,15,10,,7,90,,BP
788,BR-BR-05,North,35,100,33,28,196,3,90,,BP
789,BR-BR-05,North,40,100,29,24,,0.2,90,,BP
790,BR-BR-05,North,45,100,31,26,,9.8,90,,BP
791,BR-BR-05,North,50,90,54,49,"57, 66, 164",0.2,90,,BP
792,BR-BR-05,East,5,100,25,20,"3, 8",16.8,80,,BP
793,BR-BR-05,East,10,100,13,8,"7, 13, 20",27.8,40,,BP
794,BR-BR-05,East,15,70,16,11,"3, 26, 30",13.3,40,,BP
795,BR-BR-05,East,20,90,29,24,10,9.5,50,,BP
796,BR-BR-05,East,25,90,52,47,,6,70,,BP
797,BR-BR-05,East,30,100,25,20,"2, 6",8.9,60,,BP
798,BR-BR-05,East,35,80,13,8,,12.8,80,,BP
799,BR-BR-05,East,40,100,21,16,"32, 44",19.2,80,,BP
800,BR-BR-05,East,45,100,32,27,"6, 65",20.3,70,,BP
801,BR-BR-05,East,50,100,27,22,"5, 15, 27",14.6,40,,BP
802,BR-BR-05,South,5,50,26,21,10,5.8,80,,BP
803,BR-BR-05,South,10,100,31,26,53,10.5,90,,BP
