name,lon,lat,ele,time,,sym,type,extensions
GI-BS-04,152.26639,-28.912691,670.83,2020-12-03T05:52:59Z,,"Flag, Blue",Blue Flag,GI-BS-04
GI-BS-05,152.266421,-28.909995,653.914,2020-12-04T05:32:33Z,,"Flag, Blue",Blue Flag,GI-BS-05
GI-US-01,152.260034,-28.924348,674.786,2020-12-03T04:12:59Z,,"Flag, Blue",Blue Flag,GI-US-01
GI-US-02,152.264911,-28.920657,691.665,2020-12-03T04:39:36Z,,"Flag, Blue",Blue Flag,GI-US-02
GI-US-03,152.262956,-28.916098,663.835,2020-12-03T05:02:45Z,,"Flag, Blue",Blue Flag,GI-US-03
GI-US-04,152.263798,-28.912809,676.564,2020-12-03T05:42:38Z,,"Flag, Blue",Blue Flag,GI-US-04
GI-US-05,152.263953,-28.910469,650.985,2020-12-04T05:23:58Z,,"Flag, Blue",Blue Flag,GI-US-05
GL-BS-01,152.259171,-28.823049,636.847,2020-12-28T05:37:18Z,,"Flag, Blue",Blue Flag,GL-BS-01
GL-BS-02,152.260362,-28.826109,623.084,2020-12-28T06:39:58Z,,"Flag, Blue",Blue Flag,GL-BS-02
GL-BS-03,152.291746,-28.878396,578.778,2020-12-29T00:22:24Z,,"Flag, Blue",Blue Flag,GL-BS-03
GL-BS-04,152.279404,-28.883025,723.137,2020-12-29T02:07:03Z,,"Flag, Blue",Blue Flag,GL-BS-04
GL-US-01,152.25763,-28.823581,636.352,2020-12-28T06:08:34Z,,"Flag, Blue",Blue Flag,GL-US-01
GL-US-02,152.258527,-28.826507,615.037,2020-12-28T19:55:46Z,,"Flag, Blue",Blue Flag,GL-US-02
GL-US-03,152.289634,-28.878092,601.135,2020-12-28T22:57:15Z,,"Flag, Blue",Blue Flag,GL-US-03
GL-US-04,152.277621,-28.882265,731.943,2020-12-29T01:17:34Z,,"Flag, Blue",Blue Flag,GL-US-04
INT,153.332059,-28.578234,583.986,2020-12-20T00:04:27Z,,"Flag, Blue",Blue Flag,INT
MN-BR-01,153.300273,-28.539307,335.035,2020-12-06T21:43:34Z,,"Flag, Blue",Blue Flag,MN-BR-01
MN-UR-01,153.301156,-28.540456,783.942,2020-12-06T21:42:41Z,,"Flag, Blue",Blue Flag,MN-UR-01
MP-BS-01,152.728173,-29.052441,288.301,2020-12-27T04:32:11Z,,"Flag, Blue",Blue Flag,MP-BS-01
MP-BS-02,152.709829,-29.059169,270.421,2020-12-27T18:34:20Z,,"Flag, Blue",Blue Flag,MP-BS-02
MP-OPTION,152.710954,-29.059577,292.811,2020-12-27T02:13:55Z,,"Flag, Blue",Blue Flag,MP-OPTION
MP-US-01,152.728395,-29.049364,286.883,2020-12-27T04:39:17Z,,"Flag, Blue",Blue Flag,MP-US-01
MP-US-02,152.711516,-29.059796,311.477,2020-12-27T06:29:52Z,,"Flag, Blue",Blue Flag,MP-US-02
