"","sp.id","Species","Site","Treatment","Litter.Depth","Litter.Cover","Understory","Mid.height","Canopy.Cover","Count","id","X99_Body_mass_average_8","X163_Food_Fruit_10","X164_Food_Nectar_or_pollen_10","X165_Food_Seeds_10","X166_Food_Foliage_or_herbs_10","X167_Food_Corms_or_tubers","X168_Food_Terrestrial_invertebrates_10","X169_Food_Terrestrial_vertebrates_10","X170_Food_Carrion_10","Fire","Formation","Location","Estimate_abundance","Estimate_density","Species_richness","Shannon_diversity","Simpson_diversity"
"1","1","Albert.s.Lyrebird","BF-BR-01","RainforestBurnt",18.3,82.5,0.3,11.935,55.5,2,1,928,0,0,0,0,0,1,0,0,"Burnt","Rainforest","Blue Fig Road",32.1829168548876,0.0512466828899485,5,4.353,3.846
"2","1","Albert.s.Lyrebird","BF-UR-01","RainforestUnburnt",32.65,96.5,1.15,3.26,94.5,0,2,928,0,0,0,0,0,1,0,0,"Unburnt","Rainforest","Blue Fig Road",32.1829168548876,0.0512466828899485,10,9.698,9.308
"3","1","Albert.s.Lyrebird","BF-UR-03","RainforestUnburnt",27.2352941176471,88.8235294117647,0.470588235294118,6.91176470588235,93.5294117647059,0,3,928,0,0,0,0,0,1,0,0,"Unburnt","Rainforest","Blue Fig Road",57.9292503387978,0.0922440292019073,14,12.672,11.524
"4","1","Albert.s.Lyrebird","BF-UR-EH2","RainforestUnburnt",24.2941176470588,98.8235294117647,0.941176470588235,2.27647058823529,96.4705882352941,0,4,928,0,0,0,0,0,1,0,0,"Unburnt","Rainforest","Blue Fig Road",16.0914584274438,0.0256233414449742,5,3.413,2.5
"5","1","Albert.s.Lyrebird","BFEH2_s1","RainforestBurnt",17.2352941176471,84.1176470588235,0.470588235294118,7.64705882352941,74.1176470588235,0,5,928,0,0,0,0,0,1,0,0,"Burnt","Rainforest","Blue Fig Road",22.5280417984213,0.0358726780229639,5,4.86,4.765
"6","1","Albert.s.Lyrebird","BFEH3_s1","RainforestBurnt",19.2352941176471,65.8823529411765,0.588235294117647,16.3823529411765,51.7647058823529,0,6,928,0,0,0,0,0,1,0,0,"Burnt","Rainforest","Blue Fig Road",32.1829168548876,0.0512466828899485,7,5.858,4.84
"7","1","Albert.s.Lyrebird","BR-BR-01","RainforestBurnt",34.05,71,0.9,4.525,71.5,0,7,928,0,0,0,0,0,1,0,0,"Burnt","Rainforest","Border Ranges 1",64.8323847008448,0.103236281370772,15,11.025,8.61
"8","1","Albert.s.Lyrebird","BR-BR-02","RainforestBurnt",27.95,77.5,1.55,9.605,54,0,8,928,0,0,0,0,0,1,0,0,"Burnt","Rainforest","Border Ranges 1",85.4608707420226,0.136084189079654,15,13.439,12.071
"9","1","Albert.s.Lyrebird","BR-BR-03","RainforestBurnt",25.85,82.5,1,9.705,68,0,9,928,0,0,0,0,0,1,0,0,"Burnt","Rainforest","Border Ranges 1",61.8854581235336,0.0985437231266459,13,11.585,10.373
"10","1","Albert.s.Lyrebird","BR-BR-04","RainforestBurnt",22.3,81.5,0.7,6.95,75,0,10,928,0,0,0,0,0,1,0,0,"Burnt","Rainforest","Border Ranges 2",51.3759219615368,0.0818087929323834,12,10.79,9.757
"11","1","Albert.s.Lyrebird","BR-BR-05","RainforestBurnt",24.1,86,1,11.575,64,0,11,928,0,0,0,0,0,1,0,0,"Burnt","Rainforest","Border Ranges 2",54.0799178542493,0.0861145188761931,15,12.755,10.922
"12","1","Albert.s.Lyrebird","BR-UR-01","RainforestUnburnt",28.6,71.5,0.6,5.995,74,1,12,928,0,0,0,0,0,1,0,0,"Unburnt","Rainforest","Border Ranges 1",88.4077973193338,0.14077674732378,20,16.867,14.157
"13","1","Albert.s.Lyrebird","BR-UR-02","RainforestUnburnt",37.05,98,0.4,4.16,82.5,0,13,928,0,0,0,0,0,1,0,0,"Unburnt","Rainforest","Border Ranges 1",70.726237855467,0.112621397859024,18,14.733,12.042
"14","1","Albert.s.Lyrebird","BR-UR-03","RainforestUnburnt",33.75,85.5,0.65,5.72,88.5,0,14,928,0,0,0,0,0,1,0,0,"Unburnt","Rainforest","Border Ranges 1",79.5670175874004,0.126699072591402,17,14.651,12.857
"15","1","Albert.s.Lyrebird","BR-UR-04","RainforestUnburnt",38.5,73.5,0.35,5.075,80,0,15,928,0,0,0,0,0,1,0,0,"Unburnt","Rainforest","Border Ranges 2",59.4879096396742,0.0947259707638124,15,13.881,12.902
"16","1","Albert.s.Lyrebird","BR-UR-05","RainforestUnburnt",43.05,69,0.5,4.61,92.5,0,16,928,0,0,0,0,0,1,0,0,"Unburnt","Rainforest","Border Ranges 2",48.6719260688243,0.0775030669885738,10,8.585,7.41
"17","1","Albert.s.Lyrebird","BY-BS-01","Dry SclerophyllBurnt",13.15,78,1.5,15.555,46,0,17,928,0,0,0,0,0,1,0,0,"Burnt","Dry Sclerophyll","Banyabba",43.4085896332901,0.0691219580147932,11,10.041,9.143
"18","1","Albert.s.Lyrebird","BY-BS-02","Dry SclerophyllBurnt",13.35,84,4.5,13.635,33,0,18,928,0,0,0,0,0,1,0,0,"Burnt","Dry Sclerophyll","Banyabba",40.5146836577374,0.0645138274804736,11,9.335,8.036
"19","1","Albert.s.Lyrebird","BY-BS-03","Dry SclerophyllBurnt",16.4,85.5,4.25,11.68,43,0,19,928,0,0,0,0,0,1,0,0,"Burnt","Dry Sclerophyll","Banyabba",37.6207776821848,0.0599056969461541,9,8,7.111
"20","1","Albert.s.Lyrebird","BY-US-01","Dry SclerophyllUnburnt",27.95,93.5,1.5,4.61,36.5,0,20,928,0,0,0,0,0,1,0,0,"Unburnt","Dry Sclerophyll","Banyabba",46.3024956088428,0.0737300885491127,11,10.071,9.383
"21","1","Albert.s.Lyrebird","BY-US-02","Dry SclerophyllUnburnt",31.9,95,1.55,3.035,48.5,0,21,928,0,0,0,0,0,1,0,0,"Unburnt","Dry Sclerophyll","Banyabba",52.0903075599481,0.0829463496177518,12,10.79,9.757
"22","1","Albert.s.Lyrebird","BY-US-03","Dry SclerophyllUnburnt",24.4,93.5,1.85,4.685,50,0,22,928,0,0,0,0,0,1,0,0,"Unburnt","Dry Sclerophyll","Banyabba",37.6207776821848,0.0599056969461541,8,6.965,5.918
"23","1","Albert.s.Lyrebird","FC-BS-01","Dry SclerophyllBurnt",8.45,29,4.5,14.185,18,0,23,928,0,0,0,0,0,1,0,0,"Burnt","Dry Sclerophyll","Fortis Creek",29.1983133223103,0.0464941294941247,10,9.076,8.167
"24","1","Albert.s.Lyrebird","FC-BS-02","Dry SclerophyllBurnt",22.5,51.5,3.35,24.14,11,0,24,928,0,0,0,0,0,1,0,0,"Burnt","Dry Sclerophyll","Fortis Creek",43.7974699834654,0.069741194241187,12,11.314,10.667
"25","1","Albert.s.Lyrebird","FC-BS-03","Dry SclerophyllBurnt",16.2,56,3.55,20.625,30,0,25,928,0,0,0,0,0,1,0,0,"Burnt","Dry Sclerophyll","Fortis Creek",31.6315060991695,0.0503686402853017,10,9.125,8.333
"26","1","Albert.s.Lyrebird","FC-US-01","Dry SclerophyllUnburnt",32,90,4.07142857142857,14.5714285714286,13.5714285714286,0,26,928,0,0,0,0,0,1,0,0,"Unburnt","Dry Sclerophyll","Fortis Creek",46.2306627603246,0.073615705032364,10,8.742,7.714
