"","Species","Understorey","Canopy","Flyover","Midstorey","Ground","X9_Family_common_name_2","X10_Family_scientific_name_2"
"65","White-cheeked Honeyeater",NA,1,NA,NA,NA,"Honeyeaters and Chats","Meliphagidae"
"66","Leaden Flycatcher",NA,1,NA,NA,NA,"Monarch and Flycatchers","Monarchidae"
"67","White-throated Gerygone",NA,1,NA,1,NA,"Thornbills and Gerygones","Acanthizidae"
"68","Australian Owlet-nightjar",NA,NA,NA,NA,NA,"Owlet-nightjars","Aegothelidae"
"69","Rainbow Bee-eater",NA,1,1,NA,NA,"Bee-eaters","Meropidae"
"70","White-naped Honeyeater",NA,1,NA,1,NA,"Honeyeaters and Chats","Meliphagidae"
"71","Red Wattlebird",NA,NA,NA,NA,NA,"Honeyeaters and Chats","Meliphagidae"
"72","Musk Lorikeet",NA,NA,1,NA,NA,"Parrots, Lorikeets and Rosellas","Psittaculidae"
"73","Scaly-breasted Lorikeet",NA,1,1,NA,NA,"Parrots, Lorikeets and Rosellas","Psittaculidae"
"74","Spotted Pardalote",NA,NA,NA,NA,NA,"Pardalotes","Pardalotidae"
"75","Eastern Spinebill",NA,NA,NA,1,NA,"Honeyeaters and Chats","Meliphagidae"
"76","Little Shrike-thrush",1,NA,NA,NA,NA,"Whistlers, Shrike-thrushes and allies","Pachycephalidae"
"77","Painted Button-quail",NA,NA,NA,NA,1,"Button-quail","Turnicidae"
"78","Australian Magpie",NA,NA,NA,1,NA,"Woodswallows, Currawongs, Butcherbirds and Magpie","Artamidae"
"79","Restless Flycatcher",NA,NA,NA,NA,NA,"Monarch and Flycatchers","Monarchidae"
"80","Sacred Kingfisher",NA,1,NA,NA,NA,"Kingfishers","Alcedinidae"
"81","Yellow-tufted Honeyeater",1,1,NA,1,NA,"Honeyeaters and Chats","Meliphagidae"
"82","Satin Bowerbird",NA,1,1,1,NA,"Bowerbirds and Catbirds","Ptilonorhynchidae"
"83","Black-faced Cuckoo-shrike",NA,1,NA,NA,NA,"Cuckoo-shrikes and Trillers","Campephagidae"
"84","Eastern Rosella",NA,NA,NA,NA,NA,"Parrots, Lorikeets and Rosellas","Psittaculidae"
"85","Noisy Miner",NA,NA,NA,NA,NA,"Honeyeaters and Chats","Meliphagidae"
