"","Q1","Q2","Q3","Q4"
"290",3,10,0,0
"291",9,11,0,1
"292",5,5,0,0
"293",0,7,3,0
"294",0,2,0,0
"295",7,3,1,0
"296",2,10,5,0
"297",0,8,0,0
"298",3,2,0,0
"299",3,1,0,0
"300",1,0,4,0
"301",2,0,0,14
"302",8,1,0,0
"303",0,0,0,0
"304",1,1,0,0
"305",1,0,1,0
"306",0,0,0,0
"307",0,3,0,0
"308",0,0,0,0
"309",4,1,0,0
"310",2,2,0,0
"311",4,1,0,0
"312",2,1,0,0
"313",3,1,0,0
"314",8,0,0,0
"315",0,0,0,0
"316",3,0,0,0
"317",4,0,0,0
"318",2,0,0,0
"319",1,0,0,0
"320",1,1,0,0
"321",0,0,0,0
"322",1,0,0,0
"323",1,9,7,0
"324",2,9,7,0
"325",8,0,0,0
"326",3,0,0,0
"327",5,0,0,0
"328",7,0,0,0
"329",2,0,0,2
"330",1,0,0,0
"331",4,0,0,0
"332",2,0,0,0
"333",0,0,0,0
"334",13,1,0,0
"335",1,6,2,0
"336",4,3,10,2
"337",4,0,0,0
"338",5,0,0,0
"339",3,0,0,0
"340",1,0,0,0
"341",10,0,0,0
"342",1,0,0,0
"343",9,1,0,0
"344",0,0,0,0
"345",0,0,0,0
"346",6,0,0,0
"347",5,0,0,0
"348",1,0,0,0
"349",1,0,0,0
"350",2,0,0,0
"351",5,0,0,0
"352",5,2,0,0
"353",11,0,0,0
"354",6,2,0,0
"355",5,0,0,0
"356",5,0,0,0
"357",4,2,0,0
"358",2,1,0,0
"359",4,0,0,0
"360",2,0,0,0
"361",3,0,0,0
"362",4,0,0,0
"363",3,0,0,1
"364",3,8,0,0
"365",1,0,0,0
"366",0,0,0,0
"367",9,0,0,0
"368",1,1,0,0
"369",8,0,1,0
"370",0,1,0,0
"371",1,0,0,0
"372",0,0,0,0
"373",1,0,0,0
"374",0,0,0,0
"375",0,0,0,0
"376",1,3,0,0
"377",2,0,0,0
"378",0,0,0,0
"379",0,1,0,0
"380",0,0,0,0
"381",0,1,2,0
"382",0,0,0,0
"383",0,0,0,0
"384",2,2,0,0
"385",1,0,0,1
"386",1,0,0,0
"387",0,0,0,0
"388",0,0,0,0
"389",0,0,0,0
"390",2,0,0,0
"391",0,0,0,0
"392",0,0,0,0
"393",0,0,0,0
"394",0,0,0,0
"395",0,0,0,0
"396",2,0,0,0
"397",0,0,0,0
"398",0,0,0,0
"399",1,0,0,2
"400",2,0,0,2
"401",0,2,0,0
"402",0,2,1,0
"403",0,0,0,1
"404",0,1,2,1
"405",0,0,0,0
"406",0,1,0,0
"407",0,0,0,0
"408",0,0,0,0
"409",1,0,0,0
"410",0,0,0,0
"411",0,4,0,0
"412",1,1,0,0
"413",0,0,0,0
"414",0,0,0,0
"415",0,0,0,0
"416",0,0,0,0
"417",0,0,2,0
"418",0,0,0,0
"419",0,0,1,0
"420",0,0,0,0
"421",3,0,0,2
"422",0,3,1,0
"423",3,4,0,0
"424",3,1,1,0
"425",1,3,2,1
"426",0,0,0,0
"427",0,0,1,0
"428",1,0,0,0
"429",0,0,0,0
"430",2,1,0,0
"431",0,0,2,1
"432",0,0,5,0
"433",1,1,0,0
"434",3,0,0,0
"435",0,0,0,0
"436",0,1,0,2
"437",0,1,0,0
"438",0,0,1,0
"439",0,1,1,2
"440",0,0,1,0
"441",0,0,0,0
